Date,Open,High,Low,Close,Adj Close,Volume
2021-11-03,17087.890625,17153.759766,17080.509766,17122.160156,17122.160156,4649400
2021-11-04,17158.279297,17219.650391,17061.460938,17078.859375,17078.859375,4495000
2021-11-05,17097.160156,17296.900391,17097.160156,17296.900391,17296.900391,4755100
2021-11-08,17323.390625,17415.300781,17279.460938,17415.300781,17415.300781,5609900
2021-11-09,17433.099609,17581.519531,17433.099609,17541.359375,17541.359375,5480400
2021-11-10,17549.089844,17575.439453,17489.869141,17559.650391,17559.650391,5804300
2021-11-11,17527.179688,17527.179688,17403.480469,17452.519531,17452.519531,6146900
2021-11-12,17479.550781,17602.050781,17479.550781,17518.130859,17518.130859,5532600
2021-11-15,17560.519531,17683.189453,17560.519531,17634.470703,17634.470703,5366800
2021-11-16,17639.960938,17708.099609,17629.800781,17693.130859,17693.130859,6220100
2021-11-17,17705.289063,17764.039063,17669.580078,17764.039063,17764.039063,6399300
2021-11-18,17767.060547,17841.369141,17748.210938,17841.369141,17841.369141,6803100
2021-11-19,17864.189453,17986.179688,17786.050781,17818.310547,17818.310547,6246900
2021-11-22,17828.529297,17857.730469,17790.640625,17803.539063,17803.539063,4908200
2021-11-23,17797.900391,17797.900391,17650.070313,17666.119141,17666.119141,5002100
2021-11-24,17680.160156,17722.890625,17588.779297,17642.519531,17642.519531,4917100
2021-11-25,17686.119141,17724.500000,17609.509766,17654.189453,17654.189453,4708400
2021-11-26,17641.789063,17641.789063,17330.439453,17369.390625,17369.390625,5676100
2021-11-29,17320.009766,17415.630859,17167.240234,17328.089844,17328.089844,4887500
2021-11-30,17369.789063,17535.230469,17369.789063,17427.759766,17427.759766,6132900
2021-12-01,17428.609375,17626.210938,17374.589844,17585.990234,17585.990234,4219800
2021-12-02,17575.910156,17741.550781,17559.439453,17724.880859,17724.880859,4988600
2021-12-03,17720.929688,17781.140625,17670.320313,17697.140625,17697.140625,4400000
2021-12-06,17650.669922,17763.419922,17585.949219,17688.210938,17688.210938,3850100
2021-12-07,17734.189453,17796.919922,17642.320313,17796.919922,17796.919922,5417700
2021-12-08,17845.060547,17988.880859,17832.419922,17832.419922,17832.419922,5272600
2021-12-09,17880.410156,17925.119141,17807.119141,17914.119141,17914.119141,5266100
2021-12-10,17893.289063,17893.289063,17767.800781,17826.259766,17826.259766,4629000
2021-12-13,17841.029297,17919.349609,17767.599609,17767.599609,17767.599609,4799000
